内容ID,日期,投放地区,消耗,展示,点击,转化,收入
1001,2026-07-01,华东,1000,50000,1250,50,3000
1001,2026-07-02,华东,1020,50500,1260,51,3060
1001,2026-07-03,华东,980,49500,1240,49,2940
1001,2026-07-04,华东,1000,50000,1250,50,3000
1001,2026-07-05,华东,1300,50000,1250,50,3000
1001,2026-07-06,华东,1380,50500,1255,50,3000
1001,2026-07-07,华东,1400,49800,1245,50,3000
1001,2026-07-08,华东,1450,50000,1250,50,3000
1002,2026-07-01,华东,1000,50000,1250,50,3000
1002,2026-07-02,华东,1010,50200,1255,50,3000
1002,2026-07-03,华东,990,49800,1245,50,3000
1002,2026-07-04,华东,1000,50000,1250,50,3000
1002,2026-07-05,华东,1000,50000,1250,32,1920
1002,2026-07-06,华东,1010,50200,1255,30,1800
1002,2026-07-07,华东,990,49800,1245,29,1740
1002,2026-07-08,华东,1000,50000,1250,30,1800
