Campaign name,Day,Region,Amount spent (USD),Impressions,Link clicks,Results
华东-拉新,2026-07-01,华东,4100,98000,2050,40
华东-拉新,2026-07-02,华东,4300,101000,2150,43
华东-拉新,2026-07-03,华东,4200,100000,2100,41
华东-拉新,2026-07-04,华东,4200,100000,2080,42
华东-拉新,2026-07-05,华东,5000,99000,1750,35
华东-拉新,2026-07-06,华东,5400,100000,1620,33
华东-拉新,2026-07-07,华东,5600,101000,1580,31
华东-拉新,2026-07-08,华东,6400,100000,1400,28
华南-拉新,2026-07-01,华南,2000,50000,1000,25
华南-拉新,2026-07-02,华南,2050,50500,1010,26
华南-拉新,2026-07-03,华南,1980,49500,990,24
华南-拉新,2026-07-04,华南,2000,50000,1000,25
华南-拉新,2026-07-05,华南,2020,50200,1005,25
华南-拉新,2026-07-06,华南,1990,49800,995,25
华南-拉新,2026-07-07,华南,2010,50100,1002,25
华南-拉新,2026-07-08,华南,2000,50000,1000,25
